,Underyling,quarter,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
2016-12-31,INTC,2016-12-31,0.12075285585912139,0.048060235898194525,0.46821374750090466,0.7192965559865839,0.1776633260389587
2015-12-26,INTC,2015-12-26,0.12075285585912139,0.048060235898194525,0.46821374750090466,0.7192965559865839,0.1776633260389587
2014-12-27,INTC,2014-12-27,0.12075285585912139,0.048060235898194525,0.46821374750090466,0.7192965559865839,0.1776633260389587
2018-07-31,INTU,2018-07-31,-0.17912604164209134,0.12890410299727675,0.34148328835063785,1.9549096163740447,0.19972537691710412
2017-07-31,INTU,2017-07-31,-0.17912604164209134,0.12890410299727675,0.34148328835063785,1.9549096163740447,0.19972537691710412
2016-07-31,INTU,2016-07-31,-0.17912604164209134,0.12890410299727675,0.34148328835063785,1.9549096163740447,0.19972537691710412
2015-07-31,INTU,2015-07-31,-0.17912604164209134,0.12890410299727675,0.34148328835063785,1.9549096163740447,0.19972537691710412
2017-12-31,INVA,2017-12-31,3.629247333210372,-0.3879511931499886,-1.5456503661930885,-2.2596846305815292,0.23851643259192956
2016-12-31,INVA,2016-12-31,3.629247333210372,-0.3879511931499886,-1.5456503661930885,-2.2596846305815292,0.23851643259192956
2015-12-31,INVA,2015-12-31,3.629247333210372,-0.3879511931499886,-1.5456503661930885,-2.2596846305815292,0.23851643259192956
2014-12-31,INVA,2014-12-31,3.629247333210372,-0.3879511931499886,-1.5456503661930885,-2.2596846305815292,0.23851643259192956
2017-12-31,JCOM,2017-12-31,0.0855650559545769,0.12018391988225319,0.46633874184136365,1.2210128366408224,0.161495844110169
2016-12-31,JCOM,2016-12-31,0.0855650559545769,0.12018391988225319,0.46633874184136365,1.2210128366408224,0.161495844110169
2015-12-31,JCOM,2015-12-31,0.0855650559545769,0.12018391988225319,0.46633874184136365,1.2210128366408224,0.161495844110169
2014-12-31,JCOM,2014-12-31,0.0855650559545769,0.12018391988225319,0.46633874184136365,1.2210128366408224,0.161495844110169
2017-12-31,JCS,2017-12-31,-0.6699787897901456,-0.2842120722643923,-0.4254761150820541,0.19592705699619828,-0.10497471409931453
2016-12-31,JCS,2016-12-31,-0.6699787897901456,-0.2842120722643923,-0.4254761150820541,0.19592705699619828,-0.10497471409931453
2015-12-31,JCS,2015-12-31,-0.6699787897901456,-0.2842120722643923,-0.4254761150820541,0.19592705699619828,-0.10497471409931453
2014-12-31,JCS,2014-12-31,-0.6699787897901456,-0.2842120722643923,-0.4254761150820541,0.19592705699619828,-0.10497471409931453
2017-09-30,JJSF,2017-09-30,0.10820771306158179,0.14080996847864924,0.379280754665469,0.24766722181962506,0.07381368746524503
2016-09-24,JJSF,2016-09-24,0.10820771306158179,0.14080996847864924,0.379280754665469,0.24766722181962506,0.07381368746524503
2015-09-26,JJSF,2015-09-26,0.10820771306158179,0.14080996847864924,0.379280754665469,0.24766722181962506,0.07381368746524503
2014-09-27,JJSF,2014-09-27,0.10820771306158179,0.14080996847864924,0.379280754665469,0.24766722181962506,0.07381368746524503
2017-12-31,JRVR,2017-12-31,-0.37469793125543827,-0.15070761781642777,0.3459765599432826,2.4571132624069896,0.09542307732243076
2016-12-31,JRVR,2016-12-31,-0.37469793125543827,-0.15070761781642777,0.3459765599432826,2.4571132624069896,0.09542307732243076
2015-12-31,JRVR,2015-12-31,-0.37469793125543827,-0.15070761781642777,0.3459765599432826,2.4571132624069896,0.09542307732243076
2014-12-31,JRVR,2014-12-31,-0.37469793125543827,-0.15070761781642777,0.3459765599432826,2.4571132624069896,0.09542307732243076
2017-12-31,KNSL,2017-12-31,0.3195889399650142,0.46765220155778103,0.12555010833686686,2.510943868244532,0.1981498053427704
2016-12-31,KNSL,2016-12-31,0.3195889399650142,0.46765220155778103,0.12555010833686686,2.510943868244532,0.1981498053427704
2015-12-31,KNSL,2015-12-31,0.3195889399650142,0.46765220155778103,0.12555010833686686,2.510943868244532,0.1981498053427704
