Symbol	Description
ELY.V	Ely Gold Royalties Inc.
EMC.V	Emblem Corp
EMC.WT.V	Emblem Corp Wts
EMC.WT.A.V	Emblem Corp Wts
EMC.WT.B.V	Emblem Corp Wts B
EMH.V	Emerald Health Therapeutics Inc
EMO.V	Emerita Resources Corp
EMR.V	Emgold Mining Corp
EMX.V	Emx Royalty Corp
ENA.V	Enablence Technologies Inc
ENER.V	Enerspar Corp
ENRG.V	New Energy Metals Corp.
ENV.H.V	Enssolutions Group Inc
ENW.V	Enwave Corp
ENW.WT.V	Enwave Corporation Wts
EOG.V	Eco Atlantic Oil and Gas Ltd
EP.V	Empire Metals Corp
EPI.V	Essa Pharma Inc
EPL.V	Eagle Plains Resources Ltd
EPO.V	Encanto Potash Corp
EPWR.V	Epower Metals Inc.
EQ.V	Eq Inc
EQG.V	Eqube Gaming Limited
EQX.V	Equinox Gold Corp.
EQX.WT.V	Equinox Gold Corp Wts
ERA.V	Elcora Advanced Materials Corp
ERC.V	Eros Resources Corp
ERE.UN.V	European Commercial REIT
ERL.H.V	Earl Resources Limited
ES.V	Eight Solutions Inc
ESK.V	Eskay Mining Corp
ESR.V	Esrey Resources Ltd.
ESS.V	Esstra Industries Inc.
ESU.V	Eestor Corp
ESX.V	Essex Minerals Inc
ETF.V	Eastfield Resources Ltd
ETMC.V	E3 Metals Corp
EU.V	Encore Energy Corp
EUO.V	Eurocontrol Technics Group Inc
EV.V	Erin Ventures Inc
EVE.V	Eve and Co Incorporated
EVM.V	Evrim Resources Corp
EVR.V	Everton Resources Inc
EVX.V	European Electric Metals Inc.
EWK.V	Earthworks Industries Inc
EWS.V	Environmental Waste International Inc
EXG.V	Exgen Resources Inc
EXS.V	Explor Resources Inc
EXX.V	Equitorial Exploration Corp
EYC.V	Eyecarrot Innovations Corp
F.V	Fiore Exploration Ltd
FA.V	Fountain Asset Corp
FBF.V	Fab-Form Industries Ltd
FBX.V	First Bauxite Corp
FCA.V	Firm Capital American Realty Part CAD
FCA.U.V	Firm Capital American Realty Part Corp
FCA.WT.U.V	Firm Cap American Realty Part Wts USD
FCC.V	First Cobalt Corp
FCD.UN.V	Firm Capital Property Trust
FCF.V	Founders Advantage Capital Corp
FDI.V	Findev Inc
FE.V	First Energy Metals Limited
FEO.V	Oceanic Iron Ore Corp
FEX.V	Fjordland Exploration Inc
FG.V	Falcon Gold Corp
FGC.V	Frontline Gold Corp
FGR.V	Fengro Industries Corp.
FIL.V	Filo Mining Corp
FIRE.V	The Supreme Cannabis Company Inc.
FISH.V	Sailfish Royalty Corp
FIX.V	Firebird Resources Inc
FL.V	Frontier Lithium Inc
FLGC.V	Fanlogic Interactive Inc
FLM.V	First Legacy Mining Corp
FLT.V	Drone Delivery Canada Corp
FLY.V	Flyht Aerospace Solutions Ltd
FMC.V	Forum Energy Metals Corp.
FMG.V	First Mexican Gold Corp
FMR.V	Fairmont Resources Inc
FMS.V	Focus Graphite Inc
