,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate, priorQShares , recQShares ,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
hedgeFunds,GTE,1,28,3/31/2018,6/30/2018," 107,593,000.00 "," 116,916,000.00 ",8.67,6,16,1,6
allFirms,GUNR,17,119,3/31/2018,6/30/2018,154605000,160499000,3.81,19,46,7,29
hedgeFunds,GUNR,1,7,3/31/2018,6/30/2018," 1,276,000.00 "," 1,639,000.00 ",28.48,2,2,1,2
allFirms,GV,1,41,3/31/2018,6/30/2018,10783000,10879000,0.89,5,10,13,14
hedgeFunds,GV,1,7,3/31/2018,6/30/2018," 3,785,000.00 "," 4,327,000.00 ",14.33,2,3,1,2
allFirms,HDEF,,,,,,,,,,,
hedgeFunds,HDEF,,,,,,,,,,,
allFirms,HEFA,9,188,3/31/2018,6/30/2018,101189000,86244000,-14.77,38,100,,
hedgeFunds,HEFA,1,7,3/31/2018,6/30/2018," 2,192,000.00 "," 1,958,000.00 ",-10.69,1,5,,
allFirms,HYG,90,602,3/31/2018,6/30/2018,150219000,181802000,21.02,65,199,56,242
hedgeFunds,HYG,31,38,3/31/2018,6/30/2018," 9,468,000.00 "," 11,141,000.00 ",17.68,10,10,7,13
allFirms,HYGV,,,,,,,,,,,
hedgeFunds,HYGV,,,,,,,,,,,
allFirms,IAU,38,541,3/31/2018,6/30/2018,490036000,470666000,-3.95,55,187,36,144
hedgeFunds,IAU,5,27,3/31/2018,6/30/2018," 30,400,000.00 "," 28,029,000.00 ",-7.8,3,8,2,10
allFirms,IBDC,,,,,,,,,,,
hedgeFunds,IBDC,,,,,,,,,,,
allFirms,IBDD,,,,,,,,,,,
hedgeFunds,IBDD,,,,,,,,,,,
allFirms,IBO,4,167,3/31/2018,6/30/2018,38990000,38325000,-1.7,15,68,4,54
hedgeFunds,IBO,1,20,3/31/2018,6/30/2018," 2,856,000.00 "," 2,889,000.00 ",1.15,7,8,2,5
allFirms,IDEV,,,,,,,,,,,
